#Component	1
#Std. deviation	1
#Proportion of variance explained	1
#Loadings	1
c1	1
#Scores	1
1	-1.698
2	-1.628
3	-1.559
4	-1.49
5	-1.421
6	-1.351
7	-1.282
8	-1.213
9	-1.143
10	-1.074
11	-1.005
12	-0.9355
13	-0.8662
14	-0.7969
15	-0.7276
16	-0.6583
17	-0.589
18	-0.5197
19	-0.4504
20	-0.3811
21	-0.3118
22	-0.2425
23	-0.1732
24	-0.1039
25	-0.03465
26	0.03465
27	0.1039
28	0.1732
29	0.2425
30	0.3118
31	0.3811
32	0.4504
33	0.5197
34	0.589
35	0.6583
36	0.7276
37	0.7969
38	0.8662
39	0.9355
40	1.005
41	1.074
42	1.143
43	1.213
44	1.282
45	1.351
46	1.421
47	1.49
48	1.559
49	1.628
50	1.698
